species_name,inat_common
Artemisia stelleriana,Hoary Mugwort
Artemisia vulgaris,common mugwort
Baccharis halimifolia,groundsel tree
Bellis perennis,Lawn daisy
Bidens beckii,Water Marigold
Bidens cernua,Nodding Beggarticks
Bidens connata,Purplestem Beggarticks
Bidens discoidea,swamp beggarticks
Bidens frondosa,Devil's Beggarticks
Bidens hyperborea,Estuary Beggarticks
Bidens laevis,Smooth Beggarticks
Bidens polylepis,Tickseed Sunflower
Bidens tripartita,Three-parted Beggarticks
Bidens vulgata,Tall Beggarticks
Calendula officinalis,pot marigold
Carduus acanthoides,Broad-winged Thistle
Carduus nutans,musk thistle
Centaurea cyanus,Cornflower
Centaurea jacea,Brown Knapweed
Centaurea montana,Perennial Cornflower
Centaurea nigra,black knapweed
Centaurea nigrescens,Tyrol knapweed
Centaurea stoebe,spotted knapweed
Centaurea ×,NA
Chrysogonum virginianum,northern green-and-gold
Cichorium intybus,chicory
Cirsium arvense,creeping thistle
Cirsium discolor,field thistle
Cirsium horridulum,bristle thistle
Cirsium muticum,swamp thistle
Cirsium pumilum,pasture thistle
Cirsium vulgare,Bull Thistle
Conoclinium coelestinum,blue mistflower
Coreopsis lanceolata,Lance-leaved Coreopsis
Coreopsis rosea,Rose Coreopsis
Coreopsis tinctoria,plains coreopsis
Coreopsis tripteris,tall coreopsis
Coreopsis verticillata,Whorled Coreopsis
Cosmos bipinnatus,garden cosmos
Cosmos sulphureus,Yellow Cosmos
Crepis tectorum,narrow-leaved hawksbeard
Doellingeria umbellata,flat-top white aster
Doronicum pardalianches,Leopard's-bane
Echinacea pallida,pale purple coneflower
Echinacea purpurea,purple coneflower
Echinops bannaticus,Blue Globe-thistle
Eclipta prostrata,false daisy
Erechtites hieraciifolius,American burnweed
Erigeron annuus,annual fleabane
Erigeron canadensis,horseweed
Erigeron hyssopifolius,Hyssop-leaved Fleabane
Erigeron philadelphicus,Philadelphia fleabane
Erigeron pulchellus,robin's-plantain
Erigeron strigosus,daisy fleabane
Eupatorium altissimum,tall boneset
Eupatorium capillifolium,dogfennel
Eupatorium hyssopifolium,hyssopleaf thoroughwort
Eupatorium novaeangliae,NA
Eupatorium perfoliatum,common boneset
Eupatorium pilosum,rough boneset
Eupatorium serotinum,late boneset
Eupatorium sessilifolium,upland boneset
Eurybia divaricata,White Wood Aster
Eurybia macrophylla,large-leaved aster
Eurybia radula,rough wood aster
Eurybia schreberi,Schreber's Wood Aster
Eurybia spectabilis,purple wood aster
Euthamia caroliniana,slender goldentop
Euthamia graminifolia,flat-topped goldenrod
Eutrochium dubium,coastal plain Joe-Pye weed
Eutrochium fistulosum,Hollow Joe-Pye Weed
Eutrochium maculatum,spotted Joe-Pye weed
Eutrochium purpureum,sweet Joe-Pye-weed
Gaillardia pulchella,firewheel
Galinsoga parviflora,Gallant Soldier
Galinsoga quadriradiata,shaggy soldier
Gnaphalium uliginosum,marsh cudweed
Helenium autumnale,common sneezeweed
Helenium flexuosum,Southern Sneezeweed
Helianthus annuus,Common Sunflower
Helianthus decapetalus,pale sunflower
Helianthus divaricatus,woodland sunflower
Helianthus giganteus,giant sunflower
Helianthus maximiliani,Maximilian sunflower
Helianthus tuberosus,Jerusalem artichoke
Heliopsis helianthoides,false sunflower
Hieracium gronovii,Beaked Hawkweed
Hieracium lachenalii,common hawkweed
Hieracium maculatum,Spotted Hawkweed
Hieracium murorum,Wall hawkweed
Hieracium paniculatum,Panicled Hawkweed
Hieracium sabaudum,New England Hawkweed
Hieracium scabrum,rough hawkweed
Hieracium umbellatum,Canada hawkweed
Hieracium venosum,rattlesnakeweed
Hypochaeris radicata,Common Cat's-ear
Inula helenium,Elecampane
Inula racemosa,Indian Elecampane
Ionactis linariifolia,Flax-leaved Aster
Iva frutescens,marsh elder
Jacobaea vulgaris,ragwort
Krigia virginica,Virginia dwarfdandelion
Lactuca biennis,tall blue lettuce
Lactuca canadensis,Canada wild lettuce
Lactuca hirsuta,hairy lettuce
Lactuca serriola,prickly lettuce
Lapsana communis,nipplewort
Leucanthemum maximum,max chrysanthemum
Leucanthemum vulgare,oxeye daisy
Liatris novae-angliae,New England blazing star
Liatris pycnostachya,prairie blazing star
Liatris spicata,dense blazing star
Matricaria discoidea,pineapple-weed
Mikania scandens,climbing hempvine
Mycelis muralis,Wall Lettuce
Nabalus albus,white rattlesnake root
Nabalus altissima,NA
Nabalus boottii,alpine rattlesnake root
Nabalus racemosus,purple rattlesnake root
Nabalus serpentarius,lion's foot rattlesnake root
Nabalus trifoliolatus,three-leaved rattlesnake root
Nipponanthemum nipponicum,Nippon daisy
Oclemena acuminata,whorled wood aster
Oclemena nemoralis,bog aster
Oclemena ×,NA
Packera aurea,golden ragwort
Packera obovata,roundleaf ragwort
Packera paupercula,balsam ragwort
Packera schweinitziana,New England ragwort
Parthenium integrifolium,wild quinine
Petasites frigidus,Arctic Butterbur
Petasites hybridus,Common Butterbur
Petasites japonicus,Giant Butterbur
Pilosella aurantiaca,orange hawkweed
Pilosella caespitosa,meadow hawkweed
Pilosella officinarum,mouse-eared hawkweed
Pilosella piloselloides,smooth hawkweed
Pityopsis falcata,Sickleleaf Silk-grass
Pluchea odorata,marsh fleabane
Pseudognaphalium macounii,macoun's everlasting
Pseudognaphalium obtusifolium,sweet everlasting
Ratibida columnifera,upright prairie coneflower
Ratibida pinnata,grey-headed coneflower
Rudbeckia fulgida,orange coneflower
Rudbeckia hirta,black-eyed Susan
Rudbeckia laciniata,cutleaf coneflower
Rudbeckia subtomentosa,sweet black-eyed Susan
Rudbeckia triloba,brown-eyed Susan
Sclerolepis uniflora,Pink Bog Button
Scorzoneroides autumnalis,Autumn Hawkbit
Senecio viscosus,Sticky Groundsel
Senecio vulgaris,common groundsel
Sericocarpus asteroides,toothed white-topped aster
Sericocarpus linifolius,Narrowleaf Whitetop Aster
Silphium perfoliatum,cup plant
Solidago altissima,tall goldenrod
Solidago arguta,cut-leaf goldenrod
Solidago bicolor,silverrod
Solidago caesia,bluestem goldenrod
Solidago canadensis,Canada goldenrod
Solidago flexicaulis,broad-leaved goldenrod
Solidago gigantea,giant goldenrod
Solidago hispida,Hairy Goldenrod
Solidago juncea,early goldenrod
Solidago latissimifolia,Elliott's goldenrod
Solidago leiocarpa,Cutler's goldenrod
Solidago macrophylla,large-leaved goldenrod
Solidago nemoralis,field goldenrod
Solidago odora,Sweet Goldenrod
Solidago patula,Swamp Goldenrod
Solidago ptarmicoides,white flat-topped goldenrod
Solidago puberula,Downy Goldenrod
Solidago racemosa,Racemose Goldenrod
Solidago randii,Rand's goldenrod
Solidago rigida,stiff-leaved goldenrod
Solidago rugosa,common wrinkle-leaved goldenrod
Solidago sempervirens,northern seaside goldenrod
Solidago simplex,Sticky Goldenrod
Solidago speciosa,showy goldenrod
Solidago squarrosa,squarrose goldenrod
Solidago uliginosa,bog goldenrod
Solidago ulmifolia,elm-leaved goldenrod
Sonchus arvensis,Perennial Sow Thistle
Sonchus asper,prickly sowthistle
Sonchus oleraceus,Common Sow-thistle
Symphyotrichum cordifolium,Common Blue Wood Aster
Symphyotrichum dumosum,Bushy Aster
Symphyotrichum ericoides,white heath aster
Symphyotrichum laeve,smooth blue aster
Symphyotrichum lanceolatum,panicled aster
Symphyotrichum lateriflorum,calico aster
Symphyotrichum novae-angliae,New England aster
Symphyotrichum novi-belgii,New York aster
Symphyotrichum oblongifolium,Aromatic Aster
Symphyotrichum ontarionis,Ontario Aster
Symphyotrichum patens,late purple aster
Symphyotrichum pilosum,hairy white oldfield aster
Symphyotrichum praealtum,willowleaf aster
Symphyotrichum prenanthoides,crookedstem aster
Symphyotrichum puniceum,swamp aster
Symphyotrichum racemosum,Small White Aster
Symphyotrichum subulatum,annual saltmarsh aster
Symphyotrichum tenuifolium,Perennial Saltmarsh Aster
Symphyotrichum tradescantii,Tradescant's aster
Symphyotrichum undulatum,wavy-leaf aster
Tanacetum parthenium,feverfew
Tanacetum vulgare,tansy
Taraxacum erythrospermum,red-seeded dandelion
Taraxacum officinale,common dandelion
Tragopogon dubius,Yellow Salsify
Tragopogon pratensis,meadow salsify
Tripleurospermum inodorum,scentless mayweed
Tussilago farfara,colt's-foot
Verbesina alternifolia,Wingstem
Vernonia noveboracensis,New York ironweed
Xanthium orientale,common cocklebur
Xanthium strumarium,rough cocklebur
Asteraceae,NA
Athyrium niponicum,Japanese painted fern
Athyrium angustum,northern lady fern
Athyrium asplenioides,southern lady fern
Deparia acrostichoides,silvery glade fern
Impatiens balfourii,Kashmir Balsam
Impatiens balsamina,Garden balsam
Impatiens capensis,common jewelweed
Impatiens glandulifera,Himalayan balsam
Impatiens pallida,pale jewelweed
Berberis thunbergii,Japanese barberry
Berberis vulgaris,European barberry
Berberis ×,NA
Caulophyllum giganteum,early blue cohosh
Caulophyllum thalictroides,blue cohosh
Epimedium ×,NA
Jeffersonia diphylla,twinleaf
Berberis aquifolium,Oregon grape
Berberis bealei,leatherleaf mahonia
Podophyllum peltatum,mayapple
Alnus alnobetula,green alder
Alnus glutinosa,common alder
Alnus incana,grey alder
Alnus serrulata,smooth alder
Betula alleghaniensis,yellow birch
Betula cordifolia,heartleaf paper birch
Betula glandulosa,dwarf resin birch
Betula lenta,sweet birch
Betula nigra,river birch
Betula papyrifera,paper birch
Betula pendula,silver birch
Betula populifolia,gray birch
Betula pumila,swamp birch
Betula ×,NA
Carpinus caroliniana,American hornbeam
Corylus americana,American hazelnut
Corylus avellana,common hazel
Corylus cornuta,beaked hazelnut
Ostrya virginiana,American hophornbeam
Campsis radicans,American trumpet vine
Catalpa bignonioides,southern catalpa
Catalpa speciosa,northern catalpa
Woodwardia virginica,Virginia chainfern
Woodwardia areolata,netted chain fern
Borago officinalis,Borage
Brunnera macrophylla,Siberian bugloss
Echium vulgare,viper's-bugloss
Hackelia virginiana,virginia stickseed
Lithospermum officinale,Common Gromwell
Mertensia maritima,Oysterplant
Mertensia virginica,Virginia bluebells
Myosotis arvensis,field forget-me-not
Myosotis discolor,Changing Forget-me-not
Myosotis laxa,bay forget-me-not
Myosotis scorpioides,water forget-me-not
Myosotis stricta,blue forget-me-not
Myosotis sylvatica,Wood Forget-me-not
Myosotis verna,early forget-me-not
Plagiobothrys scouleri,Scouler's popcornflower
Pulmonaria officinalis,Lungwort
Pulmonaria saccharata,Bethlehem-sage
Symphytum officinale,common comfrey
Alliaria petiolata,garlic mustard
Arabidopsis lyrata,Lyreleaf Rockcress
Arabidopsis thaliana,mouse-ear cress
Arabis pycnocarpa,Slender Rockcress
Armoracia rusticana,Horseradish
Barbarea stricta,Small-flowered Winter-cress
Barbarea verna,land cress
Barbarea vulgaris,bitter wintercress
Berteroa incana,hoary alyssum
Boechera stricta,drummond's rockcress
Borodinia canadensis,sicklepod
Borodinia laevigata,smooth rockcress
Borodinia missouriensis,Green Rockcress
Brassica rapa,field mustard
Cakile edentula,American searocket
Capsella bursa-pastoris,shepherd's-purse
Cardamine bulbosa,bulbous cress
Cardamine concatenata,cut-leaved toothwort
Cardamine diphylla,Two-leaved Toothwort
Cardamine hirsuta,hairy bittercress
Cardamine impatiens,narrow-leaved bittercress
Cardamine maxima,large toothwort
Cardamine occulta,Nursery bittercress
Cardamine parviflora,Sand Bittercress
Cardamine pensylvanica,Pennsylvania Bittercress
Cardamine pratensis,Cuckooflower
Draba arabisans,rock whitlow-mustard
Draba verna,Common Whitlowgrass
Eruca vesicaria,rocketsalad
Erucastrum gallicum,Hairy Rocket
Erysimum capitatum,Western Wallflower
Erysimum cheiranthoides,wormseed wallflower
Hesperis matronalis,Damask violet
Lepidium campestre,field peppergrass
Lepidium densiflorum,Common Peppergrass
Lepidium didymum,Lesser swine-cress
Lepidium heterophyllum,Smith's Cress
Lepidium latifolium,broadleaved pepperweed
Lepidium virginicum,Virginia pepperweed
Lobularia maritima,sweet alyssum
Lunaria annua,Annual Honesty
Mummenhoffia alliacea,garlic penny-cress
Nasturtium officinale,watercress
Raphanus raphanistrum,Wild radish
Rorippa palustris,Bog Yellowcress
Rorippa sylvestris,Creeping Yellowcress
Sisymbrium officinale,Hedge mustard
Teesdalia nudicaulis,Shepherd's Cress
Thlaspi arvense,field penny-cress
Turritis glabra,Tower Mustard
Butomus umbellatus,Flowering-rush
Pachysandra procumbens,Allegheny Spurge
Pachysandra terminalis,Japanese pachysandra
Brasenia schreberi,Watershield
Cabomba caroliniana,Carolina Fanwort
Opuntia cespitosa,Eastern Pricklypear
Opuntia humifusa,low pricklypear
Calycanthus floridus,Carolina sweetshrub
Campanula giesekiana,Giesecke's harebell
Campanula glomerata,clustered bellflower
Campanula intercedens,intermediate bellflower
Campanula persicifolia,Peach-leaved Bellflower
Campanula poscharskyana,Trailing bellflower
Campanula punctata,Spotted bellflower
Campanula rapunculoides,Creeping Bellflower
Campanula trachelium,Nettle-leaved Bellflower
Campanulastrum americanum,tall bellflower
Jasione montana,Sheep's-bit
Lobelia cardinalis,cardinal flower
Lobelia dortmanna,Water Lobelia
Lobelia erinus,Garden Lobelia
Lobelia inflata,Indian tobacco
Lobelia kalmii,Kalm's Lobelia
Lobelia siphilitica,great blue lobelia
Lobelia spicata,pale-spiked lobelia
Palustricodon aparinoides,Marsh Bellflower
Platycodon grandiflorus,balloon flower
Triodanis perfoliata,clasping Venus's looking glass
Cannabis sativa,Cannabis
Celtis occidentalis,common hackberry
Humulus scandens,Japanese Hops
Diervilla lonicera,northern bush honeysuckle
Dipsacus fullonum,wild teasel
Dipsacus laciniatus,cutleaf teasel
Heptacodium miconioides,Seven Sons Tree
Knautia arvensis,Field Scabious
Kolkwitzia amabilis,Beauty Bush
Linnaea borealis,Twinflower
Lonicera canadensis,American fly-honeysuckle
Lonicera dioica,Glaucous Honeysuckle
Lonicera fragrantissima,Winter honeysuckle
Lonicera hirsuta,hairy honeysuckle
Lonicera japonica,Japanese honeysuckle
Lonicera maackii,Amur honeysuckle
Lonicera morrowii,Morrow's honeysuckle
Lonicera oblongifolia,swamp fly honeysuckle
Lonicera periclymenum,Common Honeysuckle
Lonicera sempervirens,coral honeysuckle
Lonicera tatarica,Tatarian honeysuckle
Lonicera villosa,mountain fly-honeysuckle
Lonicera xylosteum,Fly Honeysuckle
Lonicera ×,NA
Scabiosa ochroleuca,Cream Scabious
Symphoricarpos albus,Common Snowberry
Symphoricarpos orbiculatus,coralberry
Triosteum aurantiacum,Orange-fruited Horse Gentian
Triosteum perfoliatum,Perfoliate Tinker's-weed
Valeriana officinalis,common valerian
Valeriana uliginosa,Marsh Valerian
Agrostemma githago,corn cockle
Arenaria serpyllifolia,Thyme-leaved Sandwort
Atocion armeria,Sweet William Catchfly
Cerastium arvense,field chickweed
Cerastium fontanum,Common mouse-ear chickweed
Cerastium glomeratum,Sticky mouse-ear chickweed
Cerastium strictum,American Field Chickweed
Cerastium tomentosum,Snow-in-summer
Dianthus armeria,Deptford pink
Dianthus barbatus,Sweet-William
Dianthus deltoides,Maiden Pink
Mononeuria glabra,Appalachian sandwort
Mononeuria groenlandica,Greenland stitchwort
Honckenya peploides,Sea Sandwort
Moehringia lateriflora,bluntleaf sandwort
Paronychia argyrocoma,silverling
Paronychia canadensis,forked nailwort
Psammophiliella muralis,Low Baby's-breath
Rabelera holostea,greater stitchwort
Sabulina michauxii,rock sandwort
Sagina japonica,Japanese Pearlwort
Sagina nodosa,Knotted Pearlwort
Sagina procumbens,Procumbent Pearlwort
Saponaria officinalis,common soapwort
Scleranthus annuus,Annual Knawel
Silene acaulis,Moss Campion
Silene antirrhina,sleepy catchfly
Silene caroliniana,Wild Pink
Silene chalcedonica,Maltese-cross
Silene coronaria,Rose campion
Silene dioica,red campion
Silene flos-cuculi,ragged-robin
Silene latifolia,white campion
Silene stellata,starry campion
Silene vulgaris,bladder campion
Silene ×,NA
Spergula arvensis,Corn spurrey
Spergularia canadensis,canada sand-spurry
Spergularia marina,Saltmarsh Sand Spurry
Spergularia rubra,Red Sand Spurrey
Stellaria aquatica,Water Chickweed
Stellaria borealis,Boreal starwort
Stellaria graminea,lesser stitchwort
Stellaria media,common chickweed
Celastrus orbiculatus,Oriental bittersweet
Celastrus scandens,American bittersweet
Euonymus alatus,winged euonymus
Euonymus atropurpureus,wahoo
Euonymus europaeus,Spindle
Euonymus fortunei,fortune's spindle
Euonymus japonicus,Japanese spindle tree
Euonymus latifolius,Large-leaved Spindle
Ceratophyllum demersum,coontail
Ceratophyllum echinatum,spineless hornwort
Cercidiphyllum japonicum,katsura tree
Pyrularia pubera,Buffalo-nut
Crocanthemum bicknellii,plains frostweed
Crocanthemum canadense,Canada frostweed
Crocanthemum propinquum,Low Frostweed
Hudsonia ericoides,pine barren goldenheather
Hudsonia tomentosa,woolly beachheather
Lechea intermedia,narrowleaf pinweed
Lechea maritima,Beach Pinweed
Lechea minor,Thymeleaf Pinweed
Lechea mucronata,Hairy Pinweed
Lechea tenuifolia,slender pinweed
Polanisia dodecandra,redwhisker clammyweed
Cleome houtteana,Spider flower
Clethra alnifolia,Sweet Pepperbush
Colchicum autumnale,Autumn Crocus
Uvularia grandiflora,largeflower bellwort
Uvularia perfoliata,perfoliate bellwort
Uvularia sessilifolia,sessile bellwort
Comandra umbellata,bastard toadflax
Geocaulon lividum,Northern Comandra
Commelina communis,Asiatic dayflower
Tradescantia ohiensis,Ohio spiderwort
Tradescantia virginiana,Virginia spiderwort
Calystegia sepium,hedge bindweed
Calystegia spithamaea,Low False Bindweed
Convolvulus arvensis,field bindweed
Cuscuta campestris,Field Dodder
Cuscuta gronovii,Scaldweed
Ipomoea alba,Moonflower
Ipomoea batatas,sweet potato
Ipomoea hederacea,ivy-leaved morning-glory
Ipomoea purpurea,common morning-glory
Ipomoea quamoclit,Cypress Vine
Ipomoea tricolor,Garden Morning Glory
Cornus alternifolia,alternate-leaved dogwood
Cornus amomum,silky dogwood
Cornus canadensis,Canadian bunchberry
Cornus florida,flowering dogwood
Cornus kousa,kousa dogwood
Cornus mas,Cornelian cherry
Cornus obliqua,blue-fruited dogwood
Cornus racemosa,gray dogwood
Cornus rugosa,Round-leaved Dogwood
Cornus sericea,red osier dogwood
Crassula aquatica,Aquatic pygmyweed
Hylotelephium spectabile,Butterfly Stonecrop
Hylotelephium telephium,Orpine
Petrosedum rupestre,Reflexed Stonecrop
Phedimus ellacombeanus,yellow stonecrop
Phedimus hybridus,Hybrid Stonecrop
Phedimus spurius,Caucasian Stonecrop
Rhodiola rosea,Roseroot
Sedum acre,Biting Stonecrop
Sedum album,white stonecrop
Sedum hispanicum,Spanish Stonecrop
Sedum mexicanum,Mexican Stonecrop
Sedum sarmentosum,Stringy Stonecrop
Sedum sexangulare,Tasteless Stonecrop
Sedum ternatum,woodland stonecrop
Citrullus lanatus,Watermelon
Cucurbita moschata,Squash
Cucurbita pepo,American pumpkin
Echinocystis lobata,wild cucumber
Lagenaria siceraria,Calabash
Sicyos angulatus,Oneseed Bur Cucumber
Chamaecyparis thyoides,Atlantic white cedar
Juniperus communis,common juniper
Juniperus horizontalis,creeping juniper
Juniperus virginiana,eastern redcedar
Taxodium distichum,baldcypress
Thuja occidentalis,northern whitecedar
Bolboschoenus fluviatilis,river bulrush
Bolboschoenus maritimus,sea clubrush
Bolboschoenus robustus,seacoast bulrush
Bulbostylis capillaris,Densetuft Hairsedge
Carex abscondita,thicket sedge
Carex aestivalis,summer sedge
Carex albicans,white-tinged sedge
Carex albursina,White Bear Sedge
Carex amphibola,Eastern Narrowleaf Sedge
Carex annectens,Yellow-fruited Sedge
Carex appalachica,Appalachian sedge
Carex aquatilis,water sedge
Carex arctata,drooping woodland sedge
Carex arctogena,Capitate Sedge
Carex argyrantha,silvery-flowered sedge
Carex atlantica,prickly bog sedge
Carex atratiformis,scabrous black sedge
Carex aurea,golden sedge
Carex backii,Back's sedge
Carex baileyi,Bailey's Sedge
Carex bigelowii,Bigelow's sedge
Carex billingsii,Billings' sedge
